"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Check Box","","0","1","0","0","0"
"","Droppable Page","","1","2","0","0","0"
"","Web Table","","0","5","0","0","0"
"","Alerts Page","","0","3","2","0","0"
"","Nested Page","","0","0","1","0","0"
"","Selectable Page","","0","1","0","0","0"
"","Select Menu Page","","0","0","6","0","0"
"","Radio Button","","0","0","0","1","0"
"","Buttons","","0","2","1","0","0"
"","Upload and Download","","1","0","1","0","0"
"","Links","","0","0","2","0","0"
"","Autocomplete page","","0","3","1","0","0"
"","Modal Dialog Page","","0","1","1","0","0"
"","Date Picker Page","","0","2","0","0","0"
"","Accordian Page","","0","1","0","0","0"
"","Test Tabs Page","","0","0","0","1","0"
"","Sortable Page","","0","1","0","0","0"
"","Draggable Page","","0","2","0","0","0"
"","Browser Windows","","0","1","1","0","0"
"","Resizable Page","","0","1","0","0","0"
"","MenuPage","","0","1","0","0","0"
"","Форма регистрации","","0","0","1","0","0"
"","Dynamic Properties","","0","0","3","0","0"
"","Text Box","","0","1","0","0","0"
"","Frame Page","","0","0","1","0","0"
"","Progress Bar Page","","0","1","0","0","0"
"","Tool Tips","","0","1","0","0","0"
"","Slider Page","","1","0","0","0","0"
