"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 11 06:08:41 UTC 2025","Sun May 11 06:08:44 UTC 2025","3151","tests","Elements Page","TestElementsPage","","","Check Box test",""
"broken","Sun May 11 06:15:10 UTC 2025","Sun May 11 06:15:13 UTC 2025","2706","tests","interactions_test","TestDroppablePage","","","Check simple droppable",""
"broken","Sun May 11 06:10:23 UTC 2025","Sun May 11 06:12:39 UTC 2025","136415","tests","Elements Page","TestElementsPage","","","Delete person from the table",""
"broken","Sun May 11 06:07:58 UTC 2025","Sun May 11 06:08:01 UTC 2025","2927","tests","Alerts, Frame & Windows","TestAlertsFrameWindows","","","Checking the opening of the alert with prompt",""
"passed","Sun May 11 06:08:26 UTC 2025","Sun May 11 06:08:28 UTC 2025","2195","tests","Alerts, Frame & Windows","TestAlertsFrameWindows","","","Check the page with nested frames",""
"broken","Sun May 11 06:15:17 UTC 2025","Sun May 11 06:15:20 UTC 2025","2409","tests","interactions_test","TestDroppablePage","","","Check revert draggable droppable",""
"broken","Sun May 11 06:15:03 UTC 2025","Sun May 11 06:15:07 UTC 2025","4266","tests","interactions_test","TestSelectablePage","","","Check changed sortable list and grid",""
"passed","Sun May 11 06:07:40 UTC 2025","Sun May 11 06:07:42 UTC 2025","2264","tests","Alerts, Frame & Windows","TestAlertsFrameWindows","","","Checking the opening of an alert",""
"passed","Sun May 11 06:17:48 UTC 2025","Sun May 11 06:18:02 UTC 2025","14238","tests","widgets_test","TestSelectMenuPage","","","Verify removal of multi-selected values",""
"skipped","Sun May 11 06:08:44 UTC 2025","Sun May 11 06:08:47 UTC 2025","3085","tests","Elements Page","TestElementsPage","","","Radio Button test",""
"broken","Sun May 11 06:08:48 UTC 2025","Sun May 11 06:08:52 UTC 2025","4342","tests","Elements Page","TestElementsPage","","","Add new person to the table",""
"broken","Sun May 11 06:13:18 UTC 2025","Sun May 11 06:13:52 UTC 2025","33651","tests","Elements Page","TestElementsPage","","","Right click button test",""
"failed","Sun May 11 06:14:14 UTC 2025","Sun May 11 06:14:16 UTC 2025","2536","tests","Elements Page","TestElementsPage","","","Upload file test",""
"passed","Sun May 11 06:13:55 UTC 2025","Sun May 11 06:14:00 UTC 2025","5467","tests","Elements Page","TestElementsPage","","","Checking the link",""
"broken","Sun May 11 06:15:36 UTC 2025","Sun May 11 06:15:39 UTC 2025","3356","tests","widgets_test","TestAutoCompletePage","","","Check deletions from the multiple autocomplete",""
"broken","Sun May 11 06:10:18 UTC 2025","Sun May 11 06:10:22 UTC 2025","4169","tests","Elements Page","TestElementsPage","","","Update person info in the table",""
"broken","Sun May 11 06:08:31 UTC 2025","Sun May 11 06:08:35 UTC 2025","4725","tests","Alerts, Frame & Windows","TestAlertsFrameWindows","","","Check the page with large modal dialogs",""
"broken","Sun May 11 06:16:04 UTC 2025","Sun May 11 06:16:07 UTC 2025","3240","tests","widgets_test","TestDataPickerPage","","","Check change date",""
